"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 13:27:09 GMT 2022","Thu Aug 11 13:27:15 GMT 2022","5394","","tests.MtsBankTest","","tests.MtsBankTest","checkBankLicenseNumber","Проверка актуальности номера банковской лицензии",""
"passed","Thu Aug 11 13:27:15 GMT 2022","Thu Aug 11 13:27:20 GMT 2022","5507","","tests.MtsBankTest","","tests.MtsBankTest","checkThirdPartiesDoc","Проверка заголовка pdf документа о третьих лицах - партнерах банка",""
"passed","Thu Aug 11 13:26:32 GMT 2022","Thu Aug 11 13:26:40 GMT 2022","8050","","tests.MtsBankTest","","tests.MtsBankTest","checkPersonalDataDocumentTitle","Проверка заголовка документа о персональных данных (pdf)",""
"passed","Thu Aug 11 13:27:05 GMT 2022","Thu Aug 11 13:27:06 GMT 2022","1286","","tests.MtsBankTest","","tests.MtsBankTest","checkEnglishLocalizationTermsOfProcessingPD","Проверка англоязычной локализации страниц согласия на обработку персданных при подписке на новости (отсутствие символов на русском)",""
"passed","Thu Aug 11 13:27:01 GMT 2022","Thu Aug 11 13:27:05 GMT 2022","3604","","tests.MtsBankTest","","tests.MtsBankTest","checkEnglishLocalizationColoredBlock","Проверка англоязычной локализации страницы (отсутствие символов на русском)",""
"passed","Thu Aug 11 13:26:40 GMT 2022","Thu Aug 11 13:27:01 GMT 2022","20936","","tests.MtsBankTest","","tests.MtsBankTest","checkSocMedia","Проверка соцсетей",""
"passed","Thu Aug 11 13:26:26 GMT 2022","Thu Aug 11 13:26:32 GMT 2022","6152","","tests.MtsBankTest","","tests.MtsBankTest","checkEnglishLocalizationTermsOfProcessingWVD","Проверка англоязычной локализации страниц согласия на обработку и получение данных посетителя при подписке на новости (отсутствие символов на русском)",""
"passed","Thu Aug 11 13:27:06 GMT 2022","Thu Aug 11 13:27:09 GMT 2022","2931","","tests.MtsBankTest","","tests.MtsBankTest","checkFooterOpened","Наличие футера на странице",""
