"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 14:45:29 GMT 2022","Thu Aug 11 14:45:51 GMT 2022","22489","","Тест сьюты для экзамена","","tests.MtsBankTest","checkSocMedia","Проверка соцсетей",""
"passed","Thu Aug 11 14:46:07 GMT 2022","Thu Aug 11 14:46:13 GMT 2022","5827","","Тест сьюты для экзамена","","tests.MtsBankTest","checkThirdPartiesDoc","Проверка заголовка pdf документа о третьих лицах - партнерах банка",""
"passed","Thu Aug 11 14:45:15 GMT 2022","Thu Aug 11 14:45:21 GMT 2022","6004","","Тест сьюты для экзамена","","tests.MtsBankTest","checkEnglishLocalizationTermsOfProcessingWVD","Проверка англоязычной локализации страниц согласия на обработку и получение данных посетителя при подписке на новости (отсутствие символов на русском)",""
"passed","Thu Aug 11 14:45:51 GMT 2022","Thu Aug 11 14:45:55 GMT 2022","3533","","Тест сьюты для экзамена","","tests.MtsBankTest","checkEnglishLocalizationColoredBlock","Проверка англоязычной локализации страницы (отсутствие символов на русском)",""
"passed","Thu Aug 11 14:45:56 GMT 2022","Thu Aug 11 14:46:00 GMT 2022","3051","","Тест сьюты для экзамена","","tests.MtsBankTest","checkFooterOpened","Наличие футера на странице",""
"passed","Thu Aug 11 14:46:00 GMT 2022","Thu Aug 11 14:46:07 GMT 2022","7611","","Тест сьюты для экзамена","","tests.MtsBankTest","checkBankLicenseNumber","Проверка актуальности номера банковской лицензии",""
"passed","Thu Aug 11 14:45:21 GMT 2022","Thu Aug 11 14:45:29 GMT 2022","8162","","Тест сьюты для экзамена","","tests.MtsBankTest","checkPersonalDataDocumentTitle","Проверка заголовка документа о персональных данных (pdf)",""
"passed","Thu Aug 11 14:45:55 GMT 2022","Thu Aug 11 14:45:56 GMT 2022","1604","","Тест сьюты для экзамена","","tests.MtsBankTest","checkEnglishLocalizationTermsOfProcessingPD","Проверка англоязычной локализации страниц согласия на обработку персданных при подписке на новости (отсутствие символов на русском)",""
